Timestamp,What is your current country of residence?,What is your age?,What is your gender?,What is the highest level of education you have completed?,"On a scale of 1 to 5, how comfortable do you feel using a computer?","At what age did you first start using a computer? If you do not remember exactly, you may fill in an approximation.","If you have completed a middle school education, did you follow an IT-related class and/or course (not necessarily a programming one) during this time?","In your study career, have you followed or are you following a *course* directly related to computer programming?",What was your primary motivation for following this programming-related course?,"On a scale of 1 to 5, how intimidating do/did you find your programming-related course?","What was/is, in your opinion, the most challenging aspect of this course, either in terms of the curriculum, the study environment or others?","On a scale of 1 to 5, what is your opinion of the contents of the course you are following/have followed?",Please elaborate your answer.,What made you interested in following a programming-related course?,"On a scale of 1 to 5 - in terms of the difficulty of the curriculum, study environment and others, how intimidated are you by the prospect of following a programming-related course?",Please elaborate your answer.,Please elaborate why you did not decide to follow a programming-related course.,"If you answered you decided not to based on the experiences of a friend, family member or colleague, could you describe their experience (if you are willing to share that anonymously)?","On a scale of 1 to 5, what is the gender stereotype in your culture when it comes to computer engineering?","On a scale of 1 to 5 - to your knowledge, how prevalent is sexism which is biased against women in computer engineering?",Do you know any female friends or family members who are *currently* studying programming or working in a programming role?,"Do you know any female friends or family members who *have* studied programming or worked in a programming role in the past, but are not currently doing so?"," If you answered yes to any of the previous two questions, please write down any experiences surrounding their study/work that you can remember (and are willing to share anonymously).",Are you *currently* employed in a programming-oriented role in the IT field?,"On a scale of 1 to 5, how satisfied are you with your current job?","If you answered with 1 or 2, what is the reason behind your dissatisfaction with your current job?","On a scale of 1 to 5, how hard was it for you to land your current job?","If you answered with 4 or 5, what was the reason behind your difficulty in landing your current job?"
4/7/2020 22:15:23,Estonia,25,Female,University degree,5,6 to 13 years old,Yes,"Yes, I have followed a course",It was a mandatory part of the curriculum,4,The biggest issue for me is that if you have not gotten the basics at 100% and the teacher moves on; you are pretty much lost.,2,"No background to the why and how, rather just show & do",,,,,,4,4,Yes,No,"Colleagues in QA, Back and Front-End coming from computer science courses in university","No, and I have no plans to be",,,,
4/7/2020 22:37:00,USA,15,Female,Middle/High school,4,6 to 13 years old,Yes,"Yes, I am currently following a course",It was a mandatory part of the curriculum,1,"This course isn't very challenging. If I had to pick, I would say the curriculum.",4,"I would prefer it to go faster, but for an introductory course I appreciate the rigor and depth, and I've learned some interesting things (e.g. got me into functional programming).",,,,,,4,3,Yes,Yes,,"No, and I have no plans to be",,,,
4/7/2020 22:52:58,Poland,16,Male,Middle/High school,5,0 to 5 years old,No,"No, but I will",,,,,,General interest in computers,3,My main fear with programming related courses is the level of advanced mathematics you have to know when going for one.,,,5,3,No,No,,"No, but I plan to be",,,,
4/7/2020 23:12:48,US,23,Male,University degree,5,6 to 13 years old,No,"Yes, I have followed a course",all of the above,4,Boredom,3,"I learned programming basics, just enough for my goals.",,,,,,4,4,Yes,Yes,"Some colleagues shared stories of inappropriate comments, and the most of ppl in the IT environment failed to heed social cue or hygiene standards.","No, and I have no plans to be",,,,
4/7/2020 23:21:31,Hungary,25,Male,College degree,4,6 to 13 years old,Yes,"Yes, I have followed a course",General interest in computers,3,Learning how to think in algorithms instead of just learning algorithms by heart.,4,Many of the students didn't understand some of the concepts the way they were taught. We only figured them out later on by making connections with other subjects or during work.,,,,,,4,2,Yes,No,"All of my female friends had many struggles at school/work. They either dropped semesters in the past, had a hard time performing at work or they had issues balancing work with their ongoing studies.",Yes,3,,1,
4/7/2020 23:25:16,Israel,20,Male,Middle/High school,5,0 to 5 years old,Yes,"Yes, I have followed a course","A friend, family member or colleague encouraged me to",2,"Due to my course being taken at high school, and many of the students not being particularly passionate or interested in the subject, it created an atmosphere where students were uncommitted and often distracting, making the study difficult.",3,"While the study taught programming well enough, it never did so beyond a basic level.",,,,,,4,2,Yes,No,,"No, and I have no plans to be",,,,
4/7/2020 23:45:32,Lithuania,21,Male,Middle/High school,4,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,5,1,Yes,No,"While working on a project, we had one female programmer on the team. I don't remember seeing her being treated any different from the guys working there at the time. Everyone seemed perfectly comfortable with having her around and working together, she didn't express having any problems with our dominantly male company either.","No, but I plan to be",,,,
4/8/2020 0:27:59,Netherlands,22,Male,University degree,5,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,5,4,No,No,,"No, and I have no plans to be",,,,
4/8/2020 1:33:51,USA,39,Female,Middle/High school,4,6 to 13 years old,Yes,"No, but I am considering doing so",,,,,,Good career prospects,1,I already have some programming skill because I do it as a hobby. I'm pretty sure I'd do well in basic and intermediate coursework.,,,4,2,No,No,,"No, but I plan to be",,,,
4/8/2020 3:05:37,United States,39,Male,"it's complicated (some college, but no high school diploma and no college degree)",5,0 to 5 years old,Yes,"Yes, I have followed a course",it was a prerequisite for more advanced courses,1,There was no challenge.  I already knew everything it taught going in.,2,"Going to college was a mistake.  The intro-to-programming course was fine (I only took it as a prerequisite for more advanced computer science classes), but I ended up dropping out before getting to them, making it more completely a waste of time and money in retrospect.",,,,,,4,1,No,Yes,"I've had a few female friends who took programming classes, but I don't really know any details past that.  I think one was studying more on the IT side of things, and the others were things like English majors.  Pretty sure none of them landed in careers where programming is a core aspect.  I don't think any of them found the subject impenetrable or anything; it just wasn't to their interest.

Not really a ""friend"", more of a friendly acquaintance, but when I started at my current job, the lead developer was female.  (She no longer works here due to health issues.)  Her code was far from elegant, but she was doggedly determined, and also a stickler for details, so as ugly as it may be to read or to maintain, when all was done it usually worked and got the job done in a timely matter.",Yes,4,,2,
4/8/2020 9:44:17,Russia,18,Genderqueer,Middle/High school,5,6 to 13 years old,Yes,"No, and I have never strongly considered the option",,,,,,,,,,,5,4,No,No,,"No, and I have no plans to be",,,,
4/8/2020 14:26:02,Finland,30,Female,Middle/High school,4,6 to 13 years old,Yes,"No, but I am considering doing so",,,,,,Good career prospects,4,"I suck at math, logic and all that stuff so I am pretty sure I would absolutely stink on that course :D",,,4,2,No,No,,"No, and I have no plans to be",,,,
4/8/2020 21:36:14,US,22,Male,College degree,5,6 to 13 years old,No,"Yes, I have followed a course",General interest in computers,1,Group projects,2,Didn’t go into enough depth,,,,,,4,2,Yes,Yes,Studious,Yes,2,Dissatisfied by the pay,2,
4/10/2020 16:13:00,The netherlands,20,Female,Middle/High school,3,6 to 13 years old,Yes,"No, but I will",,,,,,"A friend, family member or colleague encouraged me to",2,It is based on your own skill level so you can make it as hard or easy as you like,,,3,3,No,No,,"No, and I have no plans to be",,,,
4/10/2020 16:14:22,The Netherlands,21,Female,Propedeuse,5,0 to 5 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,5,4,Yes,No,"The person I know has her own business, where people don't come into direct contact with her. ","No, and I have no plans to be",,,,
4/10/2020 16:22:12,The Netherlands ,20,Female,Middle/High school,3,6 to 13 years old,No,"No, and I have no interest in doing so",,,,,,,,,I’ve never felt particularly attracted to the subject,,2,3,No,No,,"No, and I have no plans to be",,,,
4/10/2020 16:26:14,Netherlands,22,Male,Middle/High school,5,6 to 13 years old,Yes,"Yes, I am currently following a course",Good career prospects,5,"You get thrown in the deep, expected to know how to programme something advanced in a couple of weeks",3,It was boring. Not really something ill do,,,,,,5,5,No,No,,"No, and I have no plans to be",,,,
4/10/2020 16:34:08,Netherlands,23,Male,Private school Pilot academy,5,6 to 13 years old,Yes,"No, and I have never strongly considered the option",,,,,,,,,,,5,4,No,No,,"No, and I have no plans to be",,,,
4/10/2020 18:17:39,Netherlands,23,Male,Private school Pilot academy,5,6 to 13 years old,Yes,"No, and I have never strongly considered the option",,,,,,,,,,,5,4,No,No,,"No, and I have no plans to be",,,,
4/10/2020 18:21:09,Netherlands,22,Male,College degree,4,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,5,4,Yes,No,,"No, and I have no plans to be",,,,
4/11/2020 11:16:03,Netherlands,22,Male,Middle/High school,5,6 to 13 years old,No,"No, but I will",,,,,,"A friend, family member or colleague encouraged me to",5,Tegenwoordig is een it kennis overal een must en dat kan voor baan perspectieven zorgen ,,,4,4,Yes,No,,"No, and I have no plans to be",,,,
4/11/2020 13:24:31,United States,40,Female,University degree,5,6 to 13 years old,No,"Yes, I have followed a course","A friend, family member or colleague encouraged me to",3,My male classmates/tas excluding me and treating me poorly in general,3,"I was in a highly ranked CS program so the quality was good, but not always practical",,,,,,5,5,No,Yes,One relative dropped out of the program due to poor treatment. Some of my female classmates switched studies/careers immediately after graduating,"No, but I have been before",,,,
4/11/2020 13:26:12,Germany ,20,Female,Middle/High school,3,6 to 13 years old,Yes,"No, and I have never strongly considered the option",,,,,,,,,,,4,4,No,No,,"No, and I have no plans to be",,,,
4/11/2020 14:24:50,Germany,17,Female,Middle/High school,5,14 to 21 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,-,5,-,,,,,,4,3,Yes,No,,"No, but I plan to be",,,,
4/11/2020 18:51:56,UK,18,Male,Middle/High school,5,6 to 13 years old,Yes,"Yes, I am currently following a course",1 & 4 - General interest in computers/leads to degree in CS and career in software (well-paid),2,I don't like Regular Expressions and I felt the course requires you to know how to convert them without that much practice. It's definitely a hard topic because most of our group struggled with them.,4,"A-Level Computer Science (my course was with AQA) is half programming and half theory. For the most part, I enjoyed the experience and it gives me a head-start before a degree, especially the work in C# where I created a game for the coursework. However, I did not particularly like some of the theory topics such as Networks. Additionally, there were a lot of smaller topic points such as SSH and Functional Programming which felt redundant because they were so small. Furthermore, there was an aspect of the course about Moral/Social/Ethical/Legal considerations for programmers and the exams would give 12 mark questions where we had to consider a certain situation and analyse those four aspects in depth. These were really frustrating and I would have preferred they were not in it. Overall, I was happy because the programming was great and a lot of theory was good; however, some topics and the long questions were slightly annoying.",,,,,,5,4,No,No,,"No, but I plan to be",,,,
4/11/2020 21:19:42,The Netherlands,29,Male,Middle/High school,5,0 to 5 years old,No,"No, but I am considering doing so",,,,,,General interest in computers,2,"I've been programming as a hobby for several years, with some measure of success",,,5,4,No,No,,"No, and I have no plans to be",,,,
4/11/2020 22:38:32,Netherlands,19,Male,Middle/High school,5,0 to 5 years old,Yes,"Yes, I am currently following a course",General interest in computers,1,Being present,1,The course was designed and adapted so that atleast 90% of the participants would pass.,,,,,,5,2,Yes,No,,Yes,4,,2,
4/12/2020 15:32:33,The Netherlands,19,Female,Middle/High school,5,6 to 13 years old,Yes,"No, and I have never strongly considered the option",,,,,,,,,,,4,3,Yes,No,,"No, and I have no plans to be",,,,
4/12/2020 16:13:07,America,17,Female,One year left of highschool,4,6 to 13 years old,I did not complete a middle school education,"No, and I have no interest in doing so",,,,,,,,,I was already sure that I would pick another field of study,,4,3,No,No,,"No, and I have no plans to be",,,,
4/12/2020 17:57:41,Albacete,22,Male,College degree,5,6 to 13 years old,No,"Yes, I am currently following a course",General interest in computers,1,Nothing un special,4,I think they are useful un real life,,,,,,5,3,No,No,,"No, but I plan to be",,,,
4/12/2020 18:05:06,Venezuela,46,Female,College degree,5,14 to 21 years old,No,"No, and I have no interest in doing so",,,,,,,,,I’ve never felt particularly attracted to the subject,,5,4,No,No,,"No, but I have been before",,,,
4/12/2020 18:09:24,Venezuela,48,Female,University degree,4,14 to 21 years old,No,"No, and I have no interest in doing so",,,,,,,,,I’ve never felt particularly attracted to the subject,,5,5,Yes,No,,"No, and I have no plans to be",,,,
4/12/2020 18:12:37,USA,47,Female,University degree,5,14 to 21 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,3,2,Yes,No,,"No, and I have no plans to be",,,,
4/12/2020 18:13:49,Spain,21,Male,College degree,5,0 to 5 years old,Yes,"Yes, I am currently following a course",Good career prospects,5,The difficulty of using differents programming languages,4,It is a very powerful tool in our society,,,,,,5,2,Yes,No,,"No, but I plan to be",,,,
4/12/2020 18:14:20,Spain,25,Female,University degree,5,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,4,2,Yes,Yes,"One of my friends back in high school, studied programming in a University in the US. She said it’s very common and that it wasn’t uncomfortable studying with more boys than girls. ","No, and I have no plans to be",,,,
4/12/2020 18:14:24,Spain ,39,Female,University degree,5,14 to 21 years old,Yes,"No, and I have no interest in doing so",,,,,,,,,I had main programming classes in my career ,,4,1,Yes,No,,"No, but I have been before",,,,
4/12/2020 18:15:00,USA,37,Female,University degree,5,14 to 21 years old,Yes,"Yes, I have followed a course",It was a mandatory part of the curriculum,2,Trying to understand,4,Good,,,,,,4,4,Yes,Yes,,Yes,4,,5,Language
4/12/2020 18:16:34,Spain,48,Female,Máster degree,4,14 to 21 years old,Yes,"No, and I have no interest in doing so",,,,,,,,,I’ve never felt particularly attracted to the subject,,3,2,Yes,No,,"No, and I have no plans to be",,,,
4/12/2020 18:27:21,Venezuela ,49,Female,University degree,5,14 to 21 years old,Yes,"Yes, I have followed a course",It was a mandatory part of the curriculum,3,Programing,3,It was an introduction to computer science ,,,,,,3,1,Yes,Yes,,"No, and I have no plans to be",,,,
4/12/2020 18:51:59,The Netherlands,48,Female,University degree,4,21+ years old,Yes,"Yes, I have followed a course",General interest in computers,4,Programming,4,How to use the program,,,,,,3,4,Yes,Yes,It takes a lot of time ,"No, and I have no plans to be",,,,
4/12/2020 18:55:10,Canada,47,Female,University degree,5,14 to 21 years old,No,"No, but I am considering doing so",,,,,,Good career prospects,3,Somehow feel the age gap would be intimidating ,,,5,4,Yes,Yes,,"No, but I plan to be",,,,
4/12/2020 19:13:56,Venezuela,51,Male,University degree,4,21+ years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,5,2,No,No,,"No, and I have no plans to be",,,,
4/12/2020 19:14:23,Netherlands,36,Female,University degree,3,14 to 21 years old,No,"No, but I will",,,,,,Good career prospects,3,Yes ,,,4,3,Yes,No,Yes ,"No, and I have no plans to be",,,,
4/12/2020 19:19:12,Spain,48,Female,University degree,4,14 to 21 years old,Yes,"No, but I am considering doing so",,,,,,General interest in computers,4,"Porque tengo mucho tiempo lejos del medio tecnológico, estoy algo desactualizada",,,5,1,Yes,Yes,,"No, and I have no plans to be",,,,
4/12/2020 19:26:04,Guatemala,48,Female,Master,4,14 to 21 years old,Yes,"Yes, I have followed a course",General interest in computers,3,Programming ,5,Very expecific ,,,,,,4,3,Yes,Yes,,"No, and I have no plans to be",,,,
4/12/2020 19:31:00,Netherlands ,36,Female,University degree,3,14 to 21 years old,Yes,"No, but I am considering doing so",,,,,,"A friend, family member or colleague encouraged me to",3,Not intimidated ,,,1,1,No,No,,"No, and I have no plans to be",,,,
4/12/2020 19:41:04,The Netherlands ,22,Male,College degree,5,6 to 13 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,Getting used to programming ,4,"The contents are fine, they prepare you from scratch to a reasonable level of programming ",,,,,,5,1,Yes,No,They had an honest interest in IT,Yes,5,,2,
4/12/2020 19:41:15,The Netherlands ,22,Male,College degree,5,6 to 13 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,Getting used to programming ,4,"The contents are fine, they prepare you from scratch to a reasonable level of programming ",,,,,,5,1,Yes,No,They had an honest interest in IT,Yes,5,,2,
4/12/2020 19:41:29,Cairo ,37,Female,University degree,2,14 to 21 years old,Yes,"Yes, I have followed a course","A friend, family member or colleague encouraged me to",4,It’s good for me ,3,It’s helps me in studying ,,,,,,4,4,No,Yes,,"No, but I plan to be",,,,
4/12/2020 21:27:30,Netherlands,33,Female,University degree,4,14 to 21 years old,Yes,"Yes, I am currently following a course","A friend, family member or colleague encouraged me to",3,Ik heb geen cursus gevolgd,3,Zie boven ,,,,,,3,3,No,No,,"No, and I have no plans to be",,,,
4/12/2020 21:36:23,Netherlands,21,Male,Middle/High school,5,6 to 13 years old,Yes,"Yes, I am currently following a course",It was a mandatory part of the curriculum,4,The amount of work that needs to be done,4,We are only studying the basics,,,,,,5,4,Yes,Yes,,"No, and I have no plans to be",,,,
4/12/2020 21:37:01,Netherlands,21,Male,Middle/High school,4,6 to 13 years old,Yes,"No, but I am considering doing so",,,,,,Good career prospects,1,No feelings regarding the issue,,,5,4,Yes,Yes,,"No, and I have no plans to be",,,,
4/12/2020 21:40:04,The Netherlands,20,Male,Middle/High school,5,14 to 21 years old,Yes,"Yes, I have followed a course",General interest in computers,4,Coding,2,There wasnt any information for us to go through. We had to search everything on google,,,,,,4,4,No,Yes,They were doing it at school,"No, and I have no plans to be",,,,
4/12/2020 21:41:42,Netherlands,55,Male,University degree,5,21+ years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,4,3,No,Yes,,"No, and I have no plans to be",,,,
4/12/2020 21:49:29,Nederland,37,Female,University degree,4,14 to 21 years old,Yes,"Yes, I am currently following a course",Good career prospects,3,With Dutch language I have to study and contact with computer,3,studying is very interesting but the Dutch language is a bit tricky,,,,,,3,1,No,No,,"No, and I have no plans to be",,,,
4/12/2020 22:01:36,Netherlands ,21,Male,Middle/High school,4,14 to 21 years old,Yes,"No, and I have no interest in doing so",,,,,,,,,I was already sure that I would pick another field of study,,4,2,No,No,,"No, and I have no plans to be",,,,
4/12/2020 22:06:15,Guatemala,48,Female,Master,4,14 to 21 years old,Yes,"Yes, I have followed a course",General interest in computers,3,Programming ,5,Very expecific ,,,,,,4,3,Yes,Yes,,"No, and I have no plans to be",,,,
4/12/2020 22:29:52,Netherlands,21,Male,Middle/High school,5,6 to 13 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,The projects in every semester.,4,.,,,,,,5,2,Yes,No,,"No, but I plan to be",,,,
4/12/2020 22:40:00,Netherlands,21,Female,Propedeuse hbo ict,5,6 to 13 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,Not giving up. ,3,-,,,,,,5,3,Yes,No,My female friend is doing the same study as me. ,"No, but I plan to be",,,,
4/12/2020 22:43:21,NL,22,Female,Middle/High school,5,0 to 5 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,getting things to work properly,3,"Its fine, content could go more in depth on topics but its overal alright",,,,,,4,2,Yes,Yes,"some are also students at the HvA. My mother followed one programming course back in the day but didnt do much with it, it was more for fun","No, but I plan to be",,,,
4/12/2020 22:47:59,The Netherlands,22,Female,Middle/High school,4,6 to 13 years old,No,"Yes, I am currently following a course","A friend, family member or colleague encouraged me to",3,Teamwork. Closely behind that is confidence/self-development.,4,The courses cover the basics of a variety of topics.,,,,,,5,4,Yes,No,1) Explicitly called out for being a female and suggested to transfer to another school. 2) Did not receive callback for internship until photo was removed from resume. 3) Not taken seriously as a team member. 4) Victim of inappropriate atmosphere as the only female student in class. ,"No, but I plan to be",,,,
4/12/2020 22:58:54,Netherlands,21,Female,Middle/High school,5,0 to 5 years old,Yes,"Yes, I am currently following a course",General interest in computers,2,The fast learning curve (otherwise you will fall behind and are not really able to catch up again),4,"Just satisfied. The course is good, but could be better. That’s why I am doing another course in IT after I graduate from this IT course.",,,,,,4,2,Yes,No,,"No, but I plan to be",,,,
4/12/2020 23:04:53,The Nethetlands,22,Male,College degree,5,0 to 5 years old,No,"Yes, I am currently following a course","A friend, family member or colleague encouraged me to",3,The homework,4,The content is really well explained and detailed,,,,,,4,2,No,No,,"No, and I have no plans to be",,,,
4/12/2020 23:11:38,Nederland,19,Female,Middle/High school,4,6 to 13 years old,Yes,"Yes, I am currently following a course",It was a mandatory part of the curriculum,1,Het aan richtlijnen moeten houden,4,"Het is oké, soms uitdagend maar niet altijd. Helaas is veel informatie al verouderd ",,,,,,4,2,No,No,,Yes,4,,1,
4/12/2020 23:23:13,The Netherlands,20,Male,College degree,5,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,5,2,Yes,No,,Yes,5,,1,
4/12/2020 23:25:14,Netherlands,21,Male,Middle/High school,4,6 to 13 years old,Yes,"No, and I have no interest in doing so",,,,,,,,,I’ve never felt particularly attracted to the subject,,2,4,Yes,No,,"No, but I have been before",,,,
4/13/2020 0:40:02,United Kingdom,47,Female,University degree,4,14 to 21 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,3,3,No,No,,"No, and I have no plans to be",,,,
4/13/2020 9:50:39,Nederland,22,Male,Middle/High school,5,0 to 5 years old,Yes,"Yes, I am currently following a course",General interest in computers,3,Many languages and math,4,Pretty good but differences in the quality of teachers is way too big ,,,,,,5,2,Yes,No,None ,"No, but I have been before",,,,
4/13/2020 9:51:00,Netherlands,21,Male,College degree,5,6 to 13 years old,Yes,"Yes, I am currently following a course","A friend, family member or colleague encouraged me to",4,.,2,.,,,,,,4,1,Yes,No,,"No, but I plan to be",,,,
4/13/2020 12:49:41,NL,23,Female,University degree,4,6 to 13 years old,No,"Yes, I am currently following a course",It was a mandatory part of the curriculum,4,A lot of self-learning and self disciplin. ,4,-,,,,,,2,3,Yes,Yes,-,"No, but I plan to be",,,,
4/13/2020 13:52:17,Netherlands ,19,Male,Middle/High school,4,6 to 13 years old,Yes,"No, and I have never strongly considered the option",,,,,,,,,,,5,1,No,No,,"No, but I have been before",,,,
4/13/2020 14:41:06,Hungary ,21,Female,Middle/High school,5,6 to 13 years old,Yes,"No, but I am considering doing so",,,,,,Good career prospects,4,"Programming seems too monotonous, and females are often frowned upon as programmers.",,,4,4,No,Yes,,"No, and I have no plans to be",,,,
4/13/2020 20:07:47,Spain,21,Female,College degree,4,6 to 13 years old,No,"Yes, I am currently following a course",General interest in computers,1,I only know how to writte with 2 fingers,3,Idk,,,,,,4,4,No,No,,"No, and I have no plans to be",,,,
4/14/2020 10:28:39,Nederland,22,Male,College degree,5,6 to 13 years old,Yes,"Yes, I have followed a course",Good career prospects,4,Programming,2,Moeilijkheidsgraad is per vak erg verschillend,,,,,,4,2,Yes,Yes,,Yes,3,,2,
4/14/2020 15:46:30,Venezuela ,49,Female,University degree,5,14 to 21 years old,Yes,"Yes, I have followed a course",It was a mandatory part of the curriculum,3,Programing,3,It was an introduction to computer science ,,,,,,3,1,Yes,Yes,,"No, and I have no plans to be",,,,
4/15/2020 13:17:31,The Netherlands,20,Male,Middle/High school,5,6 to 13 years old,No,"Yes, I am currently following a course",General interest in computers,4,Self study aspects for knowledge required for assignments,3,It's either too challenging or not challenging enough. The content that is too challenging is not elaborated enough by the university.,,,,,,5,1,Yes,No,I have females friends who are following a programming related study but they are a vast minority.,"No, but I have been before",,,,
4/15/2020 13:26:28,South-Korea,20,Male,Middle/High school,5,6 to 13 years old,Yes,"Yes, I am currently following a course",It was a mandatory part of the curriculum,5,Applyin knowledge gained to real life scenarios,2,We got introduced to some concepts way too late,,,,,,5,3,No,No,,"No, but I plan to be",,,,
4/15/2020 13:27:46,Netherlands,20,Male,Middle/High school,5,0 to 5 years old,Yes,"No, but I will",,,,,,General interest in computers,2,Put in enough effort and time and most things will be doable.,,,3,2,Yes,No,Nothing special about it,"No, and I have no plans to be",,,,
4/15/2020 15:12:51,Netherlands ,21,Male,Middle/High school,4,6 to 13 years old,Yes,"Yes, I am currently following a course",General interest in computers,1,The slow pace ,4,.,,,,,,4,2,Yes,Yes,,"No, but I have been before",,,,
